"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"727","5","58","وَإِذَا نَادَيْتُمْ إِلَى الصَّلَاةِ اتَّخَذُوهَا هُزُوًا وَلَعِبًا ۚ ذَٰلِكَ بِأَنَّهُمْ قَوْمٌ لَّا يَعْقِلُونَ","جب تم نماز کے لیے منادی کرتے ہو تو وہ اس کا مذاق اڑاتے اور اس سے کھیلتے ہیں اس کی وجہ یہ ہے کہ وہ عقل نہیں رکھتے","And when you call for Prayer, they take it for a mockery and sport. That is because they are a people who do not understand."
"728","5","59","قُلْ يَا أَهْلَ الْكِتَابِ هَلْ تَنقِمُونَ مِنَّا إِلَّا أَنْ آمَنَّا بِاللَّهِ وَمَا أُنزِلَ إِلَيْنَا وَمَا أُنزِلَ مِن قَبْلُ وَأَنَّ أَكْثَرَكُمْ فَاسِقُونَ","اِن سے کہو، ""اے اہل کتاب! تم جس بات پر ہم سے بگڑے ہو وہ اس کے سوا اور کیا ہے کہ ہم اللہ پر اور دین کی اُس تعلیم پر ایمان لے آئے ہیں جو ہماری طرف نازل ہوئی ہے اور ہم سے پہلے بھی نازل ہوئی تھی، اور تم میں سے اکثر لوگ فاسق ہیں؟""","Say to them: 'People of the Book! Do you hate us for anything else except that we believe in Allah, and in the teaching which has been revealed to us and in the teaching which was revealed before? Indeed most of you are transgressors.'"
"729","5","60","قُلْ هَلْ أُنَبِّئُكُم بِشَرٍّ مِّن ذَٰلِكَ مَثُوبَةً عِندَ اللَّهِ ۚ مَن لَّعَنَهُ اللَّهُ وَغَضِبَ عَلَيْهِ وَجَعَلَ مِنْهُمُ الْقِرَدَةَ وَالْخَنَازِيرَ وَعَبَدَ الطَّاغُوتَ ۚ أُولَـٰئِكَ شَرٌّ مَّكَانًا وَأَضَلُّ عَن سَوَاءِ السَّبِيلِ","پھر کہو ""کیا میں اُن لوگوں کی نشاندہی کروں جن کا انجام خدا کے ہاں فاسقوں کے انجام سے بھی بدتر ہے؟ وہ جن پر خدا نے لعنت کی، جن پر اُس کا غضب ٹوٹا، جن میں سے بندر اور سور بنائے گئے، جنہوں نے طاغوت کی بندگی کی ان کا درجہ اور بھی زیادہ برا ہے اور وہ سَوَا٫ السّبیل سے بہت زیادہ بھٹکے ہوئے ہیں""","Then say to them: 'Shall I tell you about those whose retribution with Allah is even worse? They are the ones whom Allah has cursed, and who incurred His wrath and some of whom were changed into apes and swine, and who served the false deities. Such have an even worse rank and have strayed farther away from the right path."
"730","5","61","وَإِذَا جَاءُوكُمْ قَالُوا آمَنَّا وَقَد دَّخَلُوا بِالْكُفْرِ وَهُمْ قَدْ خَرَجُوا بِهِ ۚ وَاللَّهُ أَعْلَمُ بِمَا كَانُوا يَكْتُمُونَ","جب یہ تم لوگوں کے پاس آتے ہیں تو کہتے ہیں کہ ہم ایمان لائے، حالانکہ کفر لیے ہوئے آئے تھے اور کفر ہی لیے ہوئے واپس گئے اور اللہ خوب جانتا ہے جو کچھ یہ دلوں میں چھپائے ہوئے ہیں","Whenever they come to you they say: 'We believe,' whereas, in fact, they come disbelieving, and go away disbelieving, and Allah knows all that they hide."
"731","5","62","وَتَرَىٰ كَثِيرًا مِّنْهُمْ يُسَارِعُونَ فِي الْإِثْمِ وَالْعُدْوَانِ وَأَكْلِهِمُ السُّحْتَ ۚ لَبِئْسَ مَا كَانُوا يَعْمَلُونَ","تم دیکھتے ہو کہ ان میں سے بکثرت لوگ گناہ اور ظلم و زیادتی کے کاموں میں دوڑ دھوپ کرتے پھرتے ہیں اور حرام کے مال کھاتے ہیں بہت بری حرکات ہیں جو یہ کر رہے ہیں","You will see many of them hastening towards sin and transgression and devouring unlawful earnings. Indeed what they do is evil."
"732","5","63","لَوْلَا يَنْهَاهُمُ الرَّبَّانِيُّونَ وَالْأَحْبَارُ عَن قَوْلِهِمُ الْإِثْمَ وَأَكْلِهِمُ السُّحْتَ ۚ لَبِئْسَ مَا كَانُوا يَصْنَعُونَ","کیوں اِن کے عُلما٫ اور مشائخ انہیں گناہ پر زبان کھولنے اور حرام کھانے سے نہیں روکتے؟ یقیناً بہت ہی برا کارنامہ زندگی ہے جو وہ تیار کر رہے ہیں","Why is it that their scholars and jurists do not forbid them from sinful utterances and devouring unlawful earnings? Indeed they have been contriving evil."
"733","5","64","وَقَالَتِ الْيَهُودُ يَدُ اللَّهِ مَغْلُولَةٌ ۚ غُلَّتْ أَيْدِيهِمْ وَلُعِنُوا بِمَا قَالُوا ۘ بَلْ يَدَاهُ مَبْسُوطَتَانِ يُنفِقُ كَيْفَ يَشَاءُ ۚ وَلَيَزِيدَنَّ كَثِيرًا مِّنْهُم مَّا أُنزِلَ إِلَيْكَ مِن رَّبِّكَ طُغْيَانًا وَكُفْرًا ۚ وَأَلْقَيْنَا بَيْنَهُمُ الْعَدَاوَةَ وَالْبَغْضَاءَ إِلَىٰ يَوْمِ الْقِيَامَةِ ۚ كُلَّمَا أَوْقَدُوا نَارًا لِّلْحَرْبِ أَطْفَأَهَا اللَّهُ ۚ وَيَسْعَوْنَ فِي الْأَرْضِ فَسَادًا ۚ وَاللَّهُ لَا يُحِبُّ الْمُفْسِدِينَ","یہودی کہتے ہیں اللہ کے ہاتھ بندھے ہوئے ہیں باندھے گئے ان کے ہاتھ، اور لعنت پڑی اِن پر اُس بکواس کی بدولت جو یہ کرتے ہیں اللہ کے ہاتھ تو کشادہ ہیں، جس طرح چاہتا ہے خرچ کرتا ہے حقیقت یہ ہے کہ جو کلام تمہارے رب کی طرف سے تم پر نازل ہوا ہے وہ ان میں سے اکثر لوگوں کی سرکشی و باطل پرستی میں الٹے اضافہ کا موجب بن گیا ہے، اور (اس کی پاداش میں) ہم نے ان کے درمیان قیامت تک کے لیے عداوت اور دشمنی ڈال دی ہے جب کبھی یہ جنگ کی آگ بھڑکاتے ہیں اللہ اُس کو ٹھنڈا کر دیتا ہے یہ زمین میں فساد پھیلانے کی سعی کر رہے ہیں مگر اللہ فساد برپا کرنے والوں کو ہرگز پسند نہیں کرتا","The Jews say: 'The Hand of Allah is fettered. It is their own hands which are fettered, and they stand cursed for the evil they have uttered. No! His Hands are outspread; He spends as He wills. Surely the message that has been revealed to you from your Lord has increased many of them in their in-surgence and unbelief, and so We have cast enmity and spite among them until the Day of Resurrection. And as often as they kindle the fire of war, Allah extinguishes it; and they go about trying to spread mischief on earth, whereas Allah does not love those who spread mischief."
"734","5","65","وَلَوْ أَنَّ أَهْلَ الْكِتَابِ آمَنُوا وَاتَّقَوْا لَكَفَّرْنَا عَنْهُمْ سَيِّئَاتِهِمْ وَلَأَدْخَلْنَاهُمْ جَنَّاتِ النَّعِيمِ","اگر (اِس سرکشی کے بجائے) یہ اہل کتاب ایمان لے آتے اور خدا ترسی کی روش اختیار کرتے تو ہم اِن کی برائیاں اِن سے دور کر دیتے اور ان کو نعمت بھری جنتوں میں پہنچاتے","Had the People of the Book only believed and been God-fearing, We should surely have effaced from them their evil deeds, and caused them to enter Gardens of Bliss."
"735","5","66","وَلَوْ أَنَّهُمْ أَقَامُوا التَّوْرَاةَ وَالْإِنجِيلَ وَمَا أُنزِلَ إِلَيْهِم مِّن رَّبِّهِمْ لَأَكَلُوا مِن فَوْقِهِمْ وَمِن تَحْتِ أَرْجُلِهِم ۚ مِّنْهُمْ أُمَّةٌ مُّقْتَصِدَةٌ ۖ وَكَثِيرٌ مِّنْهُمْ سَاءَ مَا يَعْمَلُونَ","کاش انہوں نے توراۃ اور انجیل اور اُن دوسری کتابوں کو قائم کیا ہوتا جو اِن کے رب کی طرف سے اِن کے پاس بھیجی گئی تھیں ایسا کرتے تو اِن کے لیے اوپر سے رزق برستا اور نیچے سے ابلتا اگرچہ اِن میں کچھ لوگ راست رو بھی ہیں لیکن ان کی اکثریت سخت بد عمل ہے","Had the People of the Book observed the Torah and the Gospel, and all that had been revealed to them from their Lord, sustenance would have been showered over them from above and risen from beneath their feet. Some among them certainly keep to the right path; but many of them do things which are evil."
"736","5","67","۞ يَا أَيُّهَا الرَّسُولُ بَلِّغْ مَا أُنزِلَ إِلَيْكَ مِن رَّبِّكَ ۖ وَإِن لَّمْ تَفْعَلْ فَمَا بَلَّغْتَ رِسَالَتَهُ ۚ وَاللَّهُ يَعْصِمُكَ مِنَ النَّاسِ ۗ إِنَّ اللَّهَ لَا يَهْدِي الْقَوْمَ الْكَافِرِينَ","اے پیغمبرؐ! جو کچھ تمہارے رب کی طرف سے تم پر نازل کیا گیا ہے وہ لوگوں تک پہنچا دو اگر تم نے ایسا نہ کیا تو اس کی پیغمبری کا حق ادا نہ کیا اللہ تم کو لوگوں کے شر سے بچانے والا ہے یقین رکھو کہ وہ کافروں کو (تمہارے مقابلہ میں) کامیابی کی راہ ہرگز نہ دکھائے گا","O Messenger! Deliver what has been revealed to you from your Lord, for if you fail to do that, you have not fulfilled the task of His messengership. Allah will certainly protect you from the evil of men. Surely Allah will not guide the unbelievers (to succeed against you)."
"737","5","68","قُلْ يَا أَهْلَ الْكِتَابِ لَسْتُمْ عَلَىٰ شَيْءٍ حَتَّىٰ تُقِيمُوا التَّوْرَاةَ وَالْإِنجِيلَ وَمَا أُنزِلَ إِلَيْكُم مِّن رَّبِّكُمْ ۗ وَلَيَزِيدَنَّ كَثِيرًا مِّنْهُم مَّا أُنزِلَ إِلَيْكَ مِن رَّبِّكَ طُغْيَانًا وَكُفْرًا ۖ فَلَا تَأْسَ عَلَى الْقَوْمِ الْكَافِرِينَ","صاف کہہ دو کہ ""اے اہل کتاب! تم ہرگز کسی اصل پر نہیں ہو جب تک کہ توراۃ اور انجیل اور اُن دوسری کتابوں کو قائم نہ کرو جو تمہارے رب کی طرف سے نازل کی گئی ہیں"" ضرور ہے کہ یہ فرمان جو تم پر نازل کیا گیا ہے ان میں سے اکثر کی سرکشی اور انکار کو اور زیادہ بڑھا دے گا مگر انکار کرنے والوں کے حال پر کچھ افسوس نہ کرو","Say to them: 'People of the Book! You have no solid ground to stand on unless you establish the Torah and the Gospel and all that had been revealed to you from your Lord. Indeed the message revealed to you from your Lord will aggravate insurgence and unbelief in many of them. So do not grieve for those who disbelieve."
"738","5","69","إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالصَّابِئُونَ وَالنَّصَارَىٰ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَعَمِلَ صَالِحًا فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ","(یقین جانو کہ یہاں اجارہ کسی کا بھی نہیں ہے) مسلمان ہو ں یا یہودی، صابی ہو ں یا عیسائی، جو بھی اللہ اور روز آخر پر ایمان لائے گا اور نیک عمل کرے گا بے شک اس کے لیے نہ کسی خوف کا مقام ہے نہ رنج کا","(Know well, none has an exclusive claim to the Truth.) For all those who believe in Allah and in the Last Day and do good deeds - be they either believers, Jews, Sabaeans or Christians - neither fear shall fall upon them, nor shall they have any reason to grieve."
"739","5","70","لَقَدْ أَخَذْنَا مِيثَاقَ بَنِي إِسْرَائِيلَ وَأَرْسَلْنَا إِلَيْهِمْ رُسُلًا ۖ كُلَّمَا جَاءَهُمْ رَسُولٌ بِمَا لَا تَهْوَىٰ أَنفُسُهُمْ فَرِيقًا كَذَّبُوا وَفَرِيقًا يَقْتُلُونَ","ہم نے بنی اسرائیل سے پختہ عہد لیا اور اُن کی طرف بہت سے رسول بھیجے، مگر جب کبھی ان کے پاس کوئی رسول اُن کی خواہشات نفس کے خلاف کچھ لے کر آیا تو کسی کو انہوں نے جھٹلایا اور کسی کو قتل کر دیا","And We took a covenant from the Children of Israel and sent to them many Messengers. But whenever any Messenger brought to them something that did not suit their desires, they gave the lie to some of them and killed the others,"
"740","5","71","وَحَسِبُوا أَلَّا تَكُونَ فِتْنَةٌ فَعَمُوا وَصَمُّوا ثُمَّ تَابَ اللَّهُ عَلَيْهِمْ ثُمَّ عَمُوا وَصَمُّوا كَثِيرٌ مِّنْهُمْ ۚ وَاللَّهُ بَصِيرٌ بِمَا يَعْمَلُونَ","اور اپنے نزدیک یہ سمجھے کہ کوئی فتنہ رونما نہ ہوگا، اس لیے اندھے اور بہرے بن گئے پھر اللہ نے اُنہیں معاف کیا تو اُن میں سے اکثر لوگ اور زیادہ اندھے اور بہرے بنتے چلے گئے اللہ اُن کی یہ سب حرکات دیکھتا رہا ہے","thinking that no harm would come from it. Thus they became blind and deaf (to the Truth). Thereafter Allah turned towards them in gracious forgiveness; but many of them became even more deaf and blind (to the Truth). Allah sees all that they do."
"741","5","72","لَقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ هُوَ الْمَسِيحُ ابْنُ مَرْيَمَ ۖ وَقَالَ الْمَسِيحُ يَا بَنِي إِسْرَائِيلَ اعْبُدُوا اللَّهَ رَبِّي وَرَبَّكُمْ ۖ إِنَّهُ مَن يُشْرِكْ بِاللَّهِ فَقَدْ حَرَّمَ اللَّهُ عَلَيْهِ الْجَنَّةَ وَمَأْوَاهُ النَّارُ ۖ وَمَا لِلظَّالِمِينَ مِنْ أَنصَارٍ","یقیناً کفر کیا اُن لوگوں نے جنہوں نے کہا کہ اللہ مسیح ابن مریم ہی ہے حالانکہ مسیح نے کہا تھا کہ ""اے بنی اسرائیل! اللہ کی بندگی کرو جو میرا رب بھی ہے اور تمہارا رب بھی"" جس نے اللہ کے ساتھ کسی کو شریک ٹھیرایا اُس پر اللہ نے جنت حرام کر دی اور اُس کا ٹھکانا جہنم ہے اور ایسے ظالموں کا کوئی مدد گار نہیں","And surely they disbelieved when they said: 'Christ, the son of Mary, is indeed God'; whereas Christ had said: 'Children of Israel! Serve Allah, Who is your Lord and my Lord.' Allah has forbidden Paradise to those who associate anything with Him in His divinity and their refuge shall be the Fire. No one will be able to help such wrong-doers."
"742","5","73","لَّقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ ثَالِثُ ثَلَاثَةٍ ۘ وَمَا مِنْ إِلَـٰهٍ إِلَّا إِلَـٰهٌ وَاحِدٌ ۚ وَإِن لَّمْ يَنتَهُوا عَمَّا يَقُولُونَ لَيَمَسَّنَّ الَّذِينَ كَفَرُوا مِنْهُمْ عَذَابٌ أَلِيمٌ","یقیناً کفر کیا اُن لوگوں نے جنہوں نے کہا کہ اللہ تین میں کا ایک ہے، حالانکہ ایک خدا کے سوا کوئی خدا نہیں ہے اگر یہ لوگ اپنی اِن باتوں سے باز نہ آئے تو ان میں سے جس جس نے کفر کیا ہے اُس کو درد ناک سزا دی جائے گی","Those who said: 'Allah is one of the Three', certainly they disbelieved, for there is no god save the One God. And if they do not give up this claim, all who have disbelieved among them shall be subjected to painful chastisement."
"743","5","74","أَفَلَا يَتُوبُونَ إِلَى اللَّهِ وَيَسْتَغْفِرُونَهُ ۚ وَاللَّهُ غَفُورٌ رَّحِيمٌ","پھر کیا یہ اللہ سے توبہ نہ کریں گے اور اس سے معافی نہ مانگیں گے؟ اللہ بہت درگزر فرمانے والا اور رحم کرنے والا ہے","Will they not, then, turn to Allah in repentance, and ask for His forgiveness? Allah is All-Forgiving, All-Compassionate."
"744","5","75","مَّا الْمَسِيحُ ابْنُ مَرْيَمَ إِلَّا رَسُولٌ قَدْ خَلَتْ مِن قَبْلِهِ الرُّسُلُ وَأُمُّهُ صِدِّيقَةٌ ۖ كَانَا يَأْكُلَانِ الطَّعَامَ ۗ انظُرْ كَيْفَ نُبَيِّنُ لَهُمُ الْآيَاتِ ثُمَّ انظُرْ أَنَّىٰ يُؤْفَكُونَ","مسیح ابن مریمؑ اِس کے سوا کچھ نہیں کہ بس ایک رسول تھا، اُس سے پہلے اور بھی بہت سے رسول گزر چکے تھے، اس کی ماں ایک راستباز عورت تھی، اور وہ دونوں کھانا کھاتے تھے، دیکھو ہم کس طرح ان کے سامنے حقیقت کی نشانیاں واضح کرتے ہیں، پھر دیکھو یہ کدھر الٹے پھر ے جاتے ہیں","The Messiah, son of Mary, was no more than a Messenger before whom many Messengers have passed away; and his mother adhered wholly to truthfulness, and they both ate food (as other mortals do). See how We make Our signs clear to them; and see where they are turning away!"
"745","5","76","قُلْ أَتَعْبُدُونَ مِن دُونِ اللَّهِ مَا لَا يَمْلِكُ لَكُمْ ضَرًّا وَلَا نَفْعًا ۚ وَاللَّهُ هُوَ السَّمِيعُ الْعَلِيمُ","اِن سے کہو، کیا تم اللہ کو چھوڑ کر اُس کی پرستش کرتے ہو جو نہ تمہارے لیے نقصان کا اختیار رکھتا ہے نہ نفع کا؟ حالانکہ سب کی سننے والا اور سب کچھ جاننے والا تو اللہ ہی ہے","Say: 'Do you serve, beside Allah, that which has no power either to harm or benefit you, whereas Allah alone is All-Hearing, All-Knowing?'"
"746","5","77","قُلْ يَا أَهْلَ الْكِتَابِ لَا تَغْلُوا فِي دِينِكُمْ غَيْرَ الْحَقِّ وَلَا تَتَّبِعُوا أَهْوَاءَ قَوْمٍ قَدْ ضَلُّوا مِن قَبْلُ وَأَضَلُّوا كَثِيرًا وَضَلُّوا عَن سَوَاءِ السَّبِيلِ","کہو، اے اہل کتاب! اپنے دین میں ناحق غلو نہ کرو اور اُ ن لوگوں کے تخیلات کی پیروی نہ کرو جو تم سے پہلے خود گمراہ ہوئے اور بہتوں کو گمراہ کیا، اور ""سَوَا٫ السّبیل"" سے بھٹک گئے","Say: 'People of the Book! Do not go beyond bounds in your religion at the cost of truth, and do not follow the caprices of the people who fell into error before, and caused others to go astray, and strayed far away from the right path."
"747","5","78","لُعِنَ الَّذِينَ كَفَرُوا مِن بَنِي إِسْرَائِيلَ عَلَىٰ لِسَانِ دَاوُودَ وَعِيسَى ابْنِ مَرْيَمَ ۚ ذَٰلِكَ بِمَا عَصَوا وَّكَانُوا يَعْتَدُونَ","بنی اسرائیل میں سے جن لوگوں نے کفر کی راہ اختیار کی اُن پر داؤدؑ اور عیسیٰ ابن مریمؑ کی زبان سے لعنت کی گئی کیونکہ وہ سرکش ہوگئے تھے اور زیادتیاں کرنے لگے تھے","Those of the Children of Israel who took to unbelief have been cursed by the tongue of David and Jesus, son of Mary, for they rebelled and exceeded the bounds of right."
"748","5","79","كَانُوا لَا يَتَنَاهَوْنَ عَن مُّنكَرٍ فَعَلُوهُ ۚ لَبِئْسَ مَا كَانُوا يَفْعَلُونَ","اُنہوں نے ایک دوسرے کو برے افعال کے ارتکاب سے روکنا چھوڑ دیا تھا، برا طرز عمل تھا جو اُنہوں نے اختیار کیا","They did not forbid each other from committing the abominable deeds they committed. Indeed what they did was evil."
"749","5","80","تَرَىٰ كَثِيرًا مِّنْهُمْ يَتَوَلَّوْنَ الَّذِينَ كَفَرُوا ۚ لَبِئْسَ مَا قَدَّمَتْ لَهُمْ أَنفُسُهُمْ أَن سَخِطَ اللَّهُ عَلَيْهِمْ وَفِي الْعَذَابِ هُمْ خَالِدُونَ","آج تم اُن میں بکثرت ایسے لوگ دیکھتے ہو جو (اہل ایمان کے مقابلہ میں) کفار کی حمایت و رفاقت کرتے ہیں یقیناً بہت برا انجام ہے جس کی تیاری اُن کے نفسوں نے اُن کے لیے کی ہے، اللہ اُن پر غضب ناک ہو گیا ہے اور وہ دائمی عذاب میں مبتلا ہونے والے ہیں","And now you can see many of them taking the unbelievers (instead of the believers) for their allies. Indeed they have prepared evil for themselves. Allah is angry with them, and they shall abide in chastisement."
"750","5","81","وَلَوْ كَانُوا يُؤْمِنُونَ بِاللَّهِ وَالنَّبِيِّ وَمَا أُنزِلَ إِلَيْهِ مَا اتَّخَذُوهُمْ أَوْلِيَاءَ وَلَـٰكِنَّ كَثِيرًا مِّنْهُمْ فَاسِقُونَ","اگر فی الواقع یہ لوگ اللہ اور پیغمبرؐ اور اُس چیز کے ماننے والے ہوتے جو پیغمبر پر نازل ہوئی تھی تو کبھی (اہل ایمان کے مقابلے میں) کافروں کو اپنا رفیق نہ بناتے مگر ان میں سے تو بیشتر لوگ خدا کی اطاعت سے نکل چکے ہیں","For had they truly believed in Allah and the Messenger and what was sent down to him, they would not have taken unbelievers (instead of believers) for their allies. But many of them have rebelled against Allah altogether."
"751","5","82","۞ لَتَجِدَنَّ أَشَدَّ النَّاسِ عَدَاوَةً لِّلَّذِينَ آمَنُوا الْيَهُودَ وَالَّذِينَ أَشْرَكُوا ۖ وَلَتَجِدَنَّ أَقْرَبَهُم مَّوَدَّةً لِّلَّذِينَ آمَنُوا الَّذِينَ قَالُوا إِنَّا نَصَارَىٰ ۚ ذَٰلِكَ بِأَنَّ مِنْهُمْ قِسِّيسِينَ وَرُهْبَانًا وَأَنَّهُمْ لَا يَسْتَكْبِرُونَ","تم اہل ایمان کی عداوت میں سب سے زیادہ سخت یہود اور مشرکین کو پاؤ گے، اور ایمان لانے والوں کے لیے دوستی میں قریب تر اُن لوگوں کو پا ؤ گے جنہوں نے کہا تھا کہ ہم نصاریٰ ہیں یہ اِس وجہ سے کہ ان میں عبادت گزار عالم اور تارک الدنیا فقیر پائے جاتے ہیں اور اُن میں غرور نفس نہیں ہے","Of all men you will find the Jews and those who associate others with Allah in His divinity to be the most hostile to those who believe; and you will surely find that of ail people they who say: 'We are Christians', are closest to feeling affection for those who believe. This is because there are worshipful priests and monks among them, and because they are not arrogant."
"752","5","83","وَإِذَا سَمِعُوا مَا أُنزِلَ إِلَى الرَّسُولِ تَرَىٰ أَعْيُنَهُمْ تَفِيضُ مِنَ الدَّمْعِ مِمَّا عَرَفُوا مِنَ الْحَقِّ ۖ يَقُولُونَ رَبَّنَا آمَنَّا فَاكْتُبْنَا مَعَ الشَّاهِدِينَ","جب وہ اس کلام کو سنتے ہیں جو رسول پر اترا ہے تو تم دیکھتے ہو کہ حق شناسی کے اثر سے اُن کی آنکھیں آنسوؤں سے تر ہو جاتی ہیں وہ بول اٹھتے ہیں کہ ""پروردگار! ہم ایمان لائے، ہمارا نام گواہی دینے والوں میں لکھ لے""","And when they hear what has been revealed to the Messenger you see that their eyes overflow with tears because of the Truth that they recognize and they say: 'Our Lord! We do believe; write us down, therefore, with those who bear witness (to the Truth)."
"753","5","84","وَمَا لَنَا لَا نُؤْمِنُ بِاللَّهِ وَمَا جَاءَنَا مِنَ الْحَقِّ وَنَطْمَعُ أَن يُدْخِلَنَا رَبُّنَا مَعَ الْقَوْمِ الصَّالِحِينَ","اور وہ کہتے ہیں کہ ""آخر کیوں نہ ہم اللہ پر ایمان لائیں اور جو حق ہمارے پاس آیا ہے اُسے کیوں نہ مان لیں جبکہ ہم اِس بات کی خواہش رکھتے ہیں کہ ہمارا رب ہمیں صالح لوگوں میں شامل کرے؟""","And why should we not believe in Allah and the Truth which has come down to us when we do fervently desire that our Lord include us among the righteous?'"
"754","5","85","فَأَثَابَهُمُ اللَّهُ بِمَا قَالُوا جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا ۚ وَذَٰلِكَ جَزَاءُ الْمُحْسِنِينَ","اُن کے اِس قول کی وجہ سے اللہ نے اُن کو ایسی جنتیں عطا کیں جن کے نیچے نہریں بہتی ہیں اور وہ ان میں ہمیشہ رہیں گے یہ جزا ہے نیک رویہ اختیار کرنے والوں کے لیے","So Allah rewarded them for these words with Gardens beneath which rivers flow so that they would abide there for ever. Such is the reward of the people who do good."
"755","5","86","وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَـٰئِكَ أَصْحَابُ الْجَحِيمِ","رہے وہ لوگ جنہوں نے ہماری آیات کو ماننے سے انکار کیا اور انہیں جھٹلایا، تو وہ جہنم کے مستحق ہیں","Those who disbelieved and gave the lie to Our signs are rightfully the inmates of the Blazing Flame."
"756","5","87","يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تُحَرِّمُوا طَيِّبَاتِ مَا أَحَلَّ اللَّهُ لَكُمْ وَلَا تَعْتَدُوا ۚ إِنَّ اللَّهَ لَا يُحِبُّ الْمُعْتَدِينَ","اے لوگو جو ایمان لائے ہو، جو پاک چیزیں اللہ نے تمہارے لیے حلال کی ہیں انہیں حرام نہ کر لو اور حد سے تجاوز نہ کرو، اللہ کو زیادتی کرنے والے سخت ناپسند ہیں","Believers! Do not hold as unlawful the good things which Allah has made lawful to you, and do not exceed the bounds of right. Allah does not love those who transgress the bounds of right."
"757","5","88","وَكُلُوا مِمَّا رَزَقَكُمُ اللَّهُ حَلَالًا طَيِّبًا ۚ وَاتَّقُوا اللَّهَ الَّذِي أَنتُم بِهِ مُؤْمِنُونَ","جو کچھ حلال و طیب رزق اللہ نے تم کو دیا ہے اُسے کھا ؤ پیو اور اُس خدا کی نافرمانی سے بچتے رہو جس پر تم ایمان لائے ہو","And partake of the lawful, good things which Allah has provided you as sustenance, and refrain from disobeying Allah in Whom you believe."
"758","5","89","لَا يُؤَاخِذُكُمُ اللَّهُ بِاللَّغْوِ فِي أَيْمَانِكُمْ وَلَـٰكِن يُؤَاخِذُكُم بِمَا عَقَّدتُّمُ الْأَيْمَانَ ۖ فَكَفَّارَتُهُ إِطْعَامُ عَشَرَةِ مَسَاكِينَ مِنْ أَوْسَطِ مَا تُطْعِمُونَ أَهْلِيكُمْ أَوْ كِسْوَتُهُمْ أَوْ تَحْرِيرُ رَقَبَةٍ ۖ فَمَن لَّمْ يَجِدْ فَصِيَامُ ثَلَاثَةِ أَيَّامٍ ۚ ذَٰلِكَ كَفَّارَةُ أَيْمَانِكُمْ إِذَا حَلَفْتُمْ ۚ وَاحْفَظُوا أَيْمَانَكُمْ ۚ كَذَٰلِكَ يُبَيِّنُ اللَّهُ لَكُمْ آيَاتِهِ لَعَلَّكُمْ تَشْكُرُونَ","تم لوگ جو مہمل قسمیں کھا لیتے ہو اُن پر اللہ گرفت نہیں کرتا، مگر جو قسمیں تم جان بوجھ کر کھاتے ہو اُن پر ضرور تم سے مواخذہ کرے گا (ایسی قسم توڑنے کا) کفارہ یہ ہے کہ دس مسکینوں کو وہ اوسط درجے کا کھانا کھلاؤ جو تم اپنے بال بچوں کو کھلاتے ہو، یا انہیں کپڑے پہناؤ، یا ایک غلام آزاد کرو، اور جو اس کی استطاعت نہ رکھتا ہو وہ تین دن کے روزے رکھے یہ تمہاری قسموں کا کفارہ ہے جبکہ تم قسم کھا کر توڑ دو اپنی قسموں کی حفاظت کیا کرو اس طرح اللہ اپنے احکام تمہارے لیے واضح کرتا ہے شاید کہ تم شکر ادا کرو","Allah does not take you to task for the oaths you utter vainly, but He will certainly take you to task for the oaths you have sworn in earnest. The expiation (for breaking such oaths) is either to feed ten needy persons with more or less the same food as you are wont to give to your families, or to clothe them, or to set free from bondage the neck of one man; and he who does not find the means shall fast for three days. This shall be the expiation for your oaths whenever you have sworn (and broken them.) But do keep your oaths. Thus does Allah make clear to you His commandments; maybe you will be grateful."
"759","5","90","يَا أَيُّهَا الَّذِينَ آمَنُوا إِنَّمَا الْخَمْرُ وَالْمَيْسِرُ وَالْأَنصَابُ وَالْأَزْلَامُ رِجْسٌ مِّنْ عَمَلِ الشَّيْطَانِ فَاجْتَنِبُوهُ لَعَلَّكُمْ تُفْلِحُونَ","اے لوگو جو ایمان لائے ہو، یہ شراب اور جوا اور یہ آستانے اور پانسے، یہ سب گندے شیطانی کام ہیں، ان سے پرہیز کرو، امید ہے کہ تمہیں فلاح نصیب ہوگی","Believers! Intoxicants, games of chance, idolatrous sacrifices at altars, and divining arrows are all abominations, the handiwork of Satan. So turn wholly away from it that you may attain to true success."
